"pov","fem","youth","older","disab","eth","forn","GEOID","lep"
13.4420289855072,51.8840579710145,12.8985507246377,5.39855072463768,12.3088685015291,1.6304347826087,4.42028985507246,34005700102,NA
10.9257052046087,52.1280907985407,9.03931901094447,6.28293473854885,17.691981332202,3.1617349006891,4.9802371541502,34005700103,NA
26.4523406655386,51.0729613733906,14.3240343347639,4.93562231759657,17.1717171717172,5.68669527896996,2.49861188228762,34005700104,NA
9.96589617279272,52.5552736498731,10.6560347952157,7.93765857194636,15.8467741935484,1.08735048930772,2.60964117433853,34005700200,NA
14.6010186757216,53.9610120282041,11.1157196184156,9.5810866860224,18.0240320427236,2.36416424720033,2.9566626164439,34005700303,NA
10.197934595525,51.0041841004184,12.2175732217573,8.74476987447699,20.445434298441,1.08786610878661,3.38765008576329,34005700304,NA
7.71282051282051,50.9987770077456,12.5356706074195,7.74561761108846,12.3740081492601,1.2433754586221,5.58499796167958,34005700305,NA
6.46535036778939,49.9618611746758,13.5392829900839,8.5812356979405,15.2208835341365,1.75438596491228,4.49090205187766,34005700306,NA
4.12147505422994,50.3971756398941,14.2100617828773,8.16416593115622,9.76722957553628,1.50044130626655,5.11930585683297,34005700307,NA
9.1765873015873,52.3159434422233,11.0677718186251,7.26474890297416,19.2702980472765,0.926377376889322,3.57142857142857,34005700401,NA
15.7738976028411,52.7809965237543,10.0811123986095,7.4739281575898,15.0534255185418,1.8539976825029,1.22997711670481,34005700402,NA
18.4236212786725,51.9538606403013,11.7937853107345,6.68549905838041,17.5,2.23634651600753,2.54237288135593,34005700403,NA
14.838337182448,51.5795519816198,12.6938541068352,5.62894887995405,13.7847642079807,1.43595634692705,3.06004618937644,34005700405,NA
18.2530200451347,49.2948464478714,7.98734677738237,4.66587584025306,18.7755102040816,8.52774482667721,19.164360089627,34005700406,NA
10.9522925561537,52.9793948394283,12.7529237052163,7.44384629664006,14.1699604743083,1.68925190272879,4.6593651382959,34005700501,NA
11.9742701632855,51.0791366906475,13.4635149023638,6.42343268242549,17.7917320774464,1.95272353545735,7.91687283523008,34005700502,NA
9.76486860304288,53.929539295393,13.4688346883469,5.9349593495935,11.0815602836879,2.4390243902439,3.92807745504841,34005700503,NA
13.5032724767482,54.2210895189551,13.4437719018796,7.80503345014336,14.3172616856827,1.91143676330041,3.56801529149411,34005700504,NA
1.78496430071399,51.5550978372812,15.8393408856849,4.88156539649846,9.10117434507679,1.09165808444902,9.18640576725026,34005700505,NA
8.34998889629136,50.6651884700665,13.0155210643016,4.43458980044346,12.9916567342074,2.4390243902439,6.45232815964523,34005700602,NA
21.5756783262504,50.6035889070147,11.9249592169657,5.12234910277325,13.9877300613497,4.74714518760196,17.1615008156607,34005700603,NA
6.00490196078431,51.1233660130719,12.5204248366013,3.9828431372549,9.24731182795699,2.12418300653595,5.35130718954248,34005700605,NA
21.2042732275817,51.4569324367595,11.9756644252322,6.98046749919949,17.703678239945,2.43355747678514,4.7710534742235,34005700701,NA
18.1236673773987,49.3115318416523,12.7796901893287,3.70051635111876,14.2332415059688,4.86230636833047,10.4773975496409,34005700702,NA
27.4347285536676,49.5941558441558,13.2711038961039,4.01785714285714,14.6980461811723,5.51948051948052,16.8938455183808,34005700703,NA
18.9649829563062,51.5600864998455,12.3262279888786,5.46802594995366,21.0958005249344,1.94624652455978,4.97374111831943,34005700800,NA
28.9363324437667,52.9875986471251,14.0172867343104,4.65990229237129,20.6355591311344,4.5847425779782,2.44269071777527,34005700900,NA
21.2129237288136,53.3103813559322,10.4608050847458,5.00529661016949,27.2268907563025,6.75317796610169,5.93220338983051,34005701001,NA
12.8424657534247,50.440313111546,12.1575342465753,5.65068493150685,16.1726469058762,6.45792563600783,11.0567514677104,34005701002,NA
10.1581217057978,52.8885099125986,12.108292474952,6.0967810701343,12.1746203904555,3.98635685354935,6.28863781709657,34005701102,NA
12.7527216174184,52.1686538793848,15.1200967686193,3.49058233972697,17.7782123997653,4.19906687402799,8.77829618109556,34005701103,NA
23.82096069869,52.9437418229394,13.2577409507196,4.27387701700829,20,3.83776711731356,5.75665067597034,34005701104,NA
13.5954135954136,52.5047801147227,13.9961759082218,4.79923518164436,18.0633565490901,3.97705544933078,10.1720841300191,34005701105,NA
16.3500678426052,51.5264586160108,12.3812754409769,7.73405698778833,18.7316715542522,2.81546811397558,3.56173677069199,34005701201,NA
20.3852327447833,51.1039310716209,12.3855681206247,5.97738287560582,22.6531759415402,3.60796984383414,14.0181915462814,34005701203,NA
40.6949806949807,55.929003021148,14.5015105740181,5.21148036253777,26.6384778012685,4.22960725075529,3.1643156690812,34005701204,NA
22.7510917030568,51.2045554095488,10.9505037231713,5.91327201051248,22.4873795318954,3.06614104248795,6.83797909407665,34005701205,NA
19.3232413178985,52.0661157024793,12.7011744236625,5.28490648107873,18.1818181818182,1.80513266637669,7.86074009196409,34005701301,NA
14.573055028463,54.0581929555896,13.2465543644717,4.51761102603369,16.9592976855547,1.83767228177642,4.31328036322361,34005701302,NA
10.7477964174012,50.9049773755656,13.2070135746606,3.93099547511312,14.0398550724638,3.45022624434389,6.05203619909502,34005701303,NA
8.80302149912841,49.8162284421826,13.8535482046932,5.17387616624258,15.4814348646948,2.31834888323438,5.43288785589773,34005701401,NA
10.6796116504854,57.0508692852543,1.09465550547328,33.0972311654862,26.3956310679612,0.708306503541533,4.79368932038835,34005701402,NA
9.78346456692913,51.6836335160532,12.6664056382146,4.50274079874706,16.1603375527426,2.27094753328113,7.02819107282694,34005701501,NA
